frame_number,landmark,x,y,z
125,NOSE,0.3980943560600281,0.7029011249542236,0.07131265103816986
125,LEFT_EYE_INNER,0.3975106179714203,0.7000835537910461,0.0633840411901474
125,LEFT_EYE,0.3970146179199219,0.6999591588973999,0.06338680535554886
125,LEFT_EYE_OUTER,0.3964855968952179,0.6998445391654968,0.06337109208106995
125,RIGHT_EYE_INNER,0.3989960849285126,0.7001522183418274,0.0639718696475029
125,RIGHT_EYE,0.3995904326438904,0.700111985206604,0.06395760923624039
125,RIGHT_EYE_OUTER,0.40022438764572144,0.7000683546066284,0.06392988562583923
125,LEFT_EAR,0.39618173241615295,0.7012966275215149,0.03588033467531204
125,RIGHT_EAR,0.4016222059726715,0.7021932005882263,0.03847118839621544
125,MOUTH_LEFT,0.397514671087265,0.7056047916412354,0.06305687129497528
125,MOUTH_RIGHT,0.399257093667984,0.7060444951057434,0.06377225369215012
125,LEFT_SHOULDER,0.38954219222068787,0.7219099998474121,0.026851803064346313
125,RIGHT_SHOULDER,0.41139543056488037,0.7292842864990234,0.020425131544470787
125,LEFT_ELBOW,0.3882442116737366,0.7428735494613647,0.048326525837183
125,RIGHT_ELBOW,0.41149047017097473,0.7553026080131531,0.041630618274211884
125,LEFT_WRIST,0.3921336829662323,0.7541849613189697,0.08314920961856842
125,RIGHT_WRIST,0.4095793068408966,0.7565556764602661,0.09213607013225555
125,LEFT_PINKY,0.39297783374786377,0.7575379610061646,0.0881856232881546
125,RIGHT_PINKY,0.4097170829772949,0.7576287388801575,0.10026363283395767
125,LEFT_INDEX,0.3945329487323761,0.7558929324150085,0.08747310191392899
125,RIGHT_INDEX,0.40874919295310974,0.7550469040870667,0.10232288390398026
125,LEFT_THUMB,0.3950059115886688,0.7552650570869446,0.083591528236866
125,RIGHT_THUMB,0.4081963896751404,0.754616379737854,0.09432797878980637
125,LEFT_HIP,0.38977956771850586,0.777461588382721,0.0051750196143984795
125,RIGHT_HIP,0.4007892906665802,0.7796157598495483,-0.005246494431048632
125,LEFT_KNEE,0.38327643275260925,0.82110595703125,0.0016165125416591763
125,RIGHT_KNEE,0.4120250344276428,0.8119803071022034,0.01580679975450039
125,LEFT_ANKLE,0.37370267510414124,0.864953875541687,0.0010362633038312197
125,RIGHT_ANKLE,0.41995158791542053,0.8507474064826965,0.026136692613363266
125,LEFT_HEEL,0.37249577045440674,0.872406542301178,0.0014306828379631042
125,RIGHT_HEEL,0.41952189803123474,0.8600563406944275,0.02755090780556202
125,LEFT_FOOT_INDEX,0.3724222481250763,0.8744373321533203,-0.005596270319074392
125,RIGHT_FOOT_INDEX,0.42759889364242554,0.8592442870140076,0.027834050357341766
126,NOSE,0.40281689167022705,0.7006040215492249,0.06439798325300217
126,LEFT_EYE_INNER,0.402025043964386,0.6976286768913269,0.056555766612291336
126,LEFT_EYE,0.40150970220565796,0.6975942254066467,0.05656055361032486
126,LEFT_EYE_OUTER,0.40099143981933594,0.6976130604743958,0.05654890090227127
126,RIGHT_EYE_INNER,0.4036554992198944,0.697596549987793,0.05694966018199921
126,RIGHT_EYE,0.4042358100414276,0.6975456476211548,0.05694907531142235
126,RIGHT_EYE_OUTER,0.40481311082839966,0.6975310444831848,0.05692789703607559
126,LEFT_EAR,0.4004935920238495,0.6993693709373474,0.02889755181968212
126,RIGHT_EAR,0.4061579406261444,0.6996631622314453,0.030345596373081207
126,MOUTH_LEFT,0.4019930958747864,0.7031995058059692,0.05606703832745552
126,MOUTH_RIGHT,0.4038617014884949,0.7033457159996033,0.05645431578159332
126,LEFT_SHOULDER,0.393129825592041,0.7209782004356384,0.021713828667998314
126,RIGHT_SHOULDER,0.4156939685344696,0.7254805564880371,0.011490467935800552
126,LEFT_ELBOW,0.389690101146698,0.7442635297775269,0.048882387578487396
126,RIGHT_ELBOW,0.41888299584388733,0.7533246874809265,0.031554922461509705
126,LEFT_WRIST,0.39760568737983704,0.7503345608711243,0.09426474571228027
126,RIGHT_WRIST,0.41223403811454773,0.7558095455169678,0.07666373997926712
126,LEFT_PINKY,0.3995753824710846,0.7518722414970398,0.10137560218572617
126,RIGHT_PINKY,0.41150540113449097,0.7577052712440491,0.08469942212104797
126,LEFT_INDEX,0.40141478180885315,0.7499462366104126,0.10192055255174637
126,RIGHT_INDEX,0.41015616059303284,0.7551774978637695,0.08560464531183243
126,LEFT_THUMB,0.4014253616333008,0.7495096325874329,0.09564337134361267
126,RIGHT_THUMB,0.4101300537586212,0.7547380328178406,0.07840649783611298
126,LEFT_HIP,0.39636602997779846,0.7776023745536804,0.0056933085434138775
126,RIGHT_HIP,0.4076736867427826,0.7793912291526794,-0.005760109517723322
126,LEFT_KNEE,0.3870798349380493,0.8202006220817566,0.007850798778235912
126,RIGHT_KNEE,0.4177398979663849,0.8119871616363525,0.016811929643154144
126,LEFT_ANKLE,0.37605124711990356,0.8590570092201233,-0.0055131153203547
126,RIGHT_ANKLE,0.4221217930316925,0.8547015190124512,0.011094202287495136
126,LEFT_HEEL,0.3751677870750427,0.8651895523071289,-0.006177791394293308
126,RIGHT_HEEL,0.42112866044044495,0.8630009293556213,0.011165051721036434
126,LEFT_FOOT_INDEX,0.3730774223804474,0.8724153637886047,-0.006253750063478947
126,RIGHT_FOOT_INDEX,0.42806845903396606,0.8591684699058533,0.016279947012662888
127,NOSE,0.40587326884269714,0.6975244283676147,0.06182540953159332
127,LEFT_EYE_INNER,0.4050120711326599,0.6946024298667908,0.05416037514805794
127,LEFT_EYE,0.4043845236301422,0.6946579217910767,0.05416419357061386
